Fulfilment,Sales Channel ,ship-service-level,currency,ship-state,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,INR,ASSAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MADHYA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JHARKHAND,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GOA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MADHYA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,SIKKIM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MADHYA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ODISHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JAMMU & KASHMIR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MADHYA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NAGALAND,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ODISHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JHARKHAND,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ASSAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BIHAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTARAKHAND,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,New Delhi,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HIMACHAL PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDAMAN & NICOBAR ,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MADHYA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ODISHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTARAKHAND,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHHATTISGARH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ARUNACHAL PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ODISHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ASSAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GOA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ASSAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MADHYA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MADHYA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Rajasthan,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNJAB,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JHARKHAND,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Delhi,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ASSAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ASSAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TELANGANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ARUNACHAL PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KERALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHARASHTRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TAMIL NADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BIHAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJASTHAN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HARYANA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MADHYA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARNATAKA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gujarat,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,WEST BENGAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,UTTAR PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANDHRA PRADESH,IN,Easy Ship,False
